custId,TransDate,TransAmnt,TransType,
23268,29/10/2016,68000.0,Credit,
23268,1/10/2016,20000.0,Credit,
23268,1/10/2016,2200.0,Credit,
23268,12/10/2016,3200.0,Credit,
23268,15/10/2016,40000.0,Credit,
23268,17/10/2016,3000.0,Credit,
23268,21/10/2016,50000.0,Credit,
23268,29/10/2016,7500.0,Credit,
23268,1/10/2016,80000.0,Credit,
23268,1/10/2016,12000.0,Credit,
23268,12/10/2016,87000.0,Credit,
23268,15/10/2016,4500.0,Credit,
23268,17/10/2016,6000.0,Credit,
23268,21/10/2016,12000.0,Credit,
23268,29/10/2016,395400.0,Debit,
23268,29/10/2016,50000.0,Credit,
