custId,TransDate,TransAmnt,TransType,
23265,1/10/2016,54000.0,Credit,
23265,12/10/2016,35000.0,Debit,
23265,15/10/2016,12000.0,Debit,
23265,17/10/2016,7000.0,Credit,
23265,21/10/2016,18000.0,Debit,
23265,29/10/2016,3000.0,Debit,
23265,1/10/2016,3000.0,Credit,
23265,1/10/2016,2000.0,Credit,
23265,12/10/2016,4500.0,Credit,
23265,15/10/2016,3000.0,Credit,
23265,17/10/2016,7000.0,Debit,
23265,21/10/2016,9000.0,Debit,
23265,29/10/2016,9000.0,Debit,
23265,1/10/2016,3000.0,Debit,
23265,1/10/2016,4000.0,Debit,
23265,12/10/2016,2500.0,Debit,
23265,15/10/2016,3000.0,Debit,
23265,17/10/2016,1500.0,Debit,
