custId,TransDate,TransAmnt,TransType,
23266,21/10/2016,42000.0,Credit,
23266,29/10/2016,32000.0,Debit,
23266,1/10/2016,10000.0,Debit,
23266,1/10/2016,4000.0,Credit,
23266,12/10/2016,20000.0,Debit,
23266,15/10/2016,3000.0,Debit,
23266,17/10/2016,4000.0,Credit,
23266,21/10/2016,2000.0,Credit,
23266,29/10/2016,10000.0,Credit,
23266,1/10/2016,10000.0,Credit,
23266,1/10/2016,4000.0,Debit,
23266,12/10/2016,6400.0,Debit,
23266,15/10/2016,7000.0,Debit,
23266,17/10/2016,1000.0,Debit,
23266,21/10/2016,1000.0,Debit,
23266,29/10/2016,3000.0,Debit,
23266,1/10/2016,1200.0,Debit,
23266,1/10/2016,800.0,Debit,
23266,12/10/2016,40000.0,Credit,
23266,15/10/2016,20000.0,Credit,
23266,17/10/2016,25000.0,Debit,
23266,21/10/2016,30000.0,Debit,
